,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Resale Price
0,Maruti Wagon R LXI CNG,Malaysia,2010,72000,CNG,Automatic,First,26.6 km/kg,998 CC,58.16 bhp,5,"RM121,000.00","RM30,000.00"
1,Hyundai Creta 1.6 CRDi SX Option,Malaysia,2015,41000,Diesel,Automatic,First,19.67 kmpl,1582 CC,126.2 bhp,5,"RM97,500.00","RM25,000.00"
2,Honda Jazz V,Malaysia,2011,46000,Petrol,Automatic,First,18.2 kmpl,1199 CC,88.7 bhp,5,"RM170,000.00","RM45,000.00"
3,Maruti Ertiga VDI,Malaysia,2012,87000,Diesel,Automatic,First,20.77 kmpl,1248 CC,88.76 bhp,7,"RM123,000.00","RM35,000.00"
4,Audi A4 New 2.0 TDI Multitronic,Malaysia,2013,40670,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,"RM90,000.00","RM29,000.00"
5,Hyundai EON LPG Era Plus Option,Malaysia,2012,75000,LPG,Automatic,First,21.1  kmpl,814 CC,55.2 bhp,5,"RM79,000.00","RM23,000.00"
6,Nissan Micra Diesel XV,Malaysia,2013,86999,Diesel,Automatic,First,23.08 kmpl,1461 CC,63.1 bhp,5,"RM89,000.00","RM36,000.00"
7,Toyota Innova Crysta 2.8 GX AT 8S,Malaysia,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,"RM123,000.00","RM40,000.00"
8,Volkswagen Vento Diesel Comfortline,Malaysia,2013,64430,Diesel,Automatic,First,20.54 kmpl,1598 CC,103.6 bhp,5,"RM103,000.00","RM36,000.00"
9,Tata Indica Vista Quadrajet LS,Malaysia,2012,65932,Diesel,Automatic,First,22.3 kmpl,1248 CC,74 bhp,5,"RM98,000.00","RM29,000.00"
10,Maruti Ciaz Zeta,Malaysia,2018,25692,Petrol,Automatic,First,21.56 kmpl,1462 CC,103.25 bhp,5,"RM78,000.00","RM24,000.00"
